ts_code,name,area,industry,list_date,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees,business_scope,main_business
000012,南玻A,深圳,玻璃,19920228,SZSE,陈琳,王健,杨昕宇,310819.6163,19840910,广东,深圳市,www.csgholding.com,securities@csgholding.com,10800.0,进行平板玻璃、工程玻璃等节能建筑材料，硅材料、光伏组件等可再生能源产品及精细玻璃、结构陶瓷等新型材料和高科技产品的生产、制造和销售(涉及生产许可证、环保批文的项目由各子公司另行申报)，为各子公司提供经营决策、管理咨询、市场信息、技术支持与岗位培训等方面的相关协调和服务。,"主要产品:玻璃及玻璃制品,电子元件."
000014,沙河股份,深圳,全国地产,19920602,SZSE,陈勇,温毅,王凡,20170.5187,19870727,广东,深圳市,www.shahe.cn,wf000014@163.com;wangyanling88@126.com,148.0,在合法取得土地使用权范围内从事房地产开发经营业务；物业租赁业；国内商业，物资供销业(不含专营、专控、专卖商品)；兴办实业(具体项目另报)。,主要业务:房地产开发.
000016,深康佳A,深圳,家用电器,19920327,SZSE,刘凤喜,周彬,吴勇军,240794.5408,19801001,广东,深圳市,www.konka.com,szkonka@konka.com,18965.0,研究开发、生产经营电视机、冰箱、洗衣机、日用小家电、厨卫电器及其他智能生活电器产品，家庭视听设备，IPTV机顶盒，OTT终端产品，数字电视接收器(含卫星电视广播地面接收设备)，数码产品，智能穿戴产品，智能健康产品，智能电子产品，智能开关插座，移动电源，移动通信设备及终端产品，日用电子产品，汽车电子产品，卫星导航系统，智能交通系统，防火防盗报警系统，办公设备，电子计算机，显示器；大屏幕显示设备的制造和应用服务；LED(OLED)背光源、照明、发光器件制造及封装；触摸电视一体机；无线广播电视发射设备；应急广播系统设备；生产经营电子元件、器件，模具，塑胶制品，各类包装材料；设计、上门安装安防产品、监控产品，无线、有线数字电视系统及系统集成，并从事相关产品的技术咨询和服务(上述经营范围中的生产项目，除移动电话外，其余均在异地生产)。从事以上所述产品(含零配件)的批发、零售、进出口及相关配套业务(不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请)。销售自行开发的技术成果；提供电子产品的维修服务、技术咨询服务;普通货物运输，国内货运代理、国际货运代理，仓储服务；供应链管理；企业管理咨询服务；自有物业租赁和物业管理业务。从事废旧电器电子产品的回收(不含拆解)(由分支机构经营)；以承接服务外包方式从事系统应用管理和维护、信息技术支持管理、银行后台服务、财务结算、人力资源服务、软件开发、呼叫中心、数据处理等信息技术和业务流程外包服务。经营进出口业务；国内贸易；国际贸易(不含专营、专控、专卖商品)；农产品、水产品、林产品贸易；金属材料、金银制品、汽车、矿产品的贸易；销售安防产品、智能家居产品、保险柜、门锁、防盗门、五金制品；代办(移动、联通、电信、广电)委托的各项业务。水污染治理、固废物污染处理、危险废物污染治理、大气污染治理、土壤污染治理与修复服务；新能源、可再生资源项目及环保设施的投资开发；固体废弃物及城市垃圾的综合利用；非金属矿物制品材料生产(开采除外)、销售；半导体集成电路、元器件专用材料开发、生产及销售，组装生产和销售集成电路设备，半导体集成电路及相关产品的设计、研发、制造、测试、封装与销售集成电路产品及相关技术服务，半导体集成电路科技领域内的技术开发、转让及进出口。,"主要产品:彩色电视机,数字移动电话及其配套产品."
000017,深中华A,深圳,文教休闲,19920331,SZSE,李海,李海,孙龙龙,55134.7947,19840824,广东,深圳市,www.cbc.com.cn,dmc@szcbc.com,53.0,研发生产自行车、电动自行车、电动摩托车、摩托车、电动三轮车、电动四轮车、儿童自行车、健身车、运动器械、机械产品、玩具、电动玩具、电子产品、新能源设备及储电设备（锂电池、电池等）、家用电器及其零配件、电子元器件；上述产品的批发、零售、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）；精细化工产品（不含危险品）、碳纤维复合材料的批发、零售；计算机软件的技术开发、转让自行开发的技术成果，并提供相关的技术信息咨询；自有物业租赁；物业管理。（以上项目不涉及国家规定实施准入特别管理措施，涉及限制项目及前置性行政许可的，须取得前置性行政许可文件后方可经营）,"主要产品:电动自行车,自行车."
000018,*ST神城,深圳,装修装饰,19920616,SZSE,陈略,李尔龙,杨春玲,169824.5011,19840427,广东,深圳市,www.sgwde.com,000018SZ@sina.com;1208806865@qq.com,821.0,工程设计与施工，基础设施投资，新能源建设与投资，医疗投资，生命技术研究开发，装备制造，防务装备，金融投资，房地产开发。(最终以工商行政管理部门核准的经营范围为准),主要业务:建筑装饰工程施工.
000019,深粮控股,深圳,其他商业,19921012,SZSE,祝俊明,胡翔海,叶青云,115253.5254,19810730,广东,深圳市,www.slkg1949.com,szch@slkg1949.com,1096.0,粮油收购和销售、粮油储备；粮油及制品经营及加工；生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品(生产场所营业执照另行申办)；饲料的经营及加工(以外包的方式经营)；粮油物流、饲料物流、茶园等项目投资、经营管理及开发；饲料、茶叶销售；仓储服务；粮食流通服务；现代粮食供应链服务；粮油、茶、植物产品、软饮料和食品的技术开发、技术服务；电子商务及信息化建设，信息技术开发及配套服务；投资兴办实业(具体项目另行申报)；国内贸易；经营进出口业务；在合法取得使用权的土地上从事房地产开发经营；自有物业的开发、经营、租售、管理；物业管理；为酒店提供管理服务。(以上涉及国家法律、行政法规、国务院决定规定须报经审批的项目，须经审批后方可经营)。许可证经营项目：预包装食品(不含复热预包装食品)的批发(非实物方式)；信息服务业务(仅限互联网信息服务业务)；普通货运、专业运输(冷藏保鲜)。,"主要产品:三井牌调味品,乳酸菌奶系列,软包装饮料,茶粉,茶汁系列."
000020,深华发A,深圳,元器件,19920428,SZSE,李中秋,李中秋,杨斌,28316.1227,19811208,广东,深圳市,www.hwafa.com.cn,hwafainvestor@126.com.cn,1016.0,生产经营各种彩色电视机、液晶显示器、液晶显示屏(在分支机构生产经营)、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印刷线路板、精密注塑件、轻型包装材料(在武汉生产经营)、五金件(含工模具)，电镀及表面处理、焊锡丝，房地产开发经营(深房地字第7226760号)，物业管理。,"主要产品:彩电,电路板,注塑件."
000021,深科技,深圳,电脑设备,19940202,SZSE,谭文鋕,郑国荣,李丽杰,147125.9363,19850704,广东,深圳市,www.kaifa.cn,stock@kaifa.cn,21974.0,开发、生产、经营计算机软、硬件系统及其外部设备、通讯设备、电子仪器仪表及其零部件、原器件、接插件和原材料，生产、经营家用商品电脑及电子玩具(以上生产项目均不含限制项目)；金融计算机软件模型的制作和设计、精密模具CAD/CAM技术、节能型自动化机电产品和智能自动化控制系统、办公自动化设备、激光仪器、光电产品及金卡系统、光通讯系统和信息网络系统的技术开发和安装工程；商用机器(含税控设备、税控系统)、机顶盒、表计类产品(水表、气表等)、网络多媒体产品的开发、设计、生产、销售及服务；金融终端设备的开发、设计、生产、销售、技术服务、售后服务及系统集成；经营进出口业务；普通货运；房屋、设备及固定资产租赁；LED照明产品的研发、生产和销售，合同能源管理；节能服务、城市亮化、照明工程的设计、安装、维护。,"主要产品:磁头产品,硬盘盘片,网络产品,光磁产品,内存条及U盘."
000023,深天地A,深圳,其他建材,19930429,SZSE,林宏润,展海波,侯剑,13875.624,19841116,广东,深圳市,www.sztiandi.com,std000023@vip.163.com,1088.0,商品混凝土及其原材料的生产、销售(具体生产场地执照另行申办)；水泥制品的生产、销售(具体生产场地执照另行申办)；在合法取得土地使用权的地块上从事房地产开发；物流服务；普通货运，货物专用运输(罐式)(道路运输经营许可证有效期至2019年1月13日)；机电设备维修；物业管理；投资兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品及限制项目)；经营进出口业务(按深府办函[1994]278号文执行)。,"主要产品:商品混凝土,碎石"
000025,特力A,深圳,汽车服务,19930621,SZSE,富春龙,吕航,祁鹏,43105.832,19861110,广东,深圳市,www.tellus.cn,sunbl@tellus.cn;ir@tellus.cn,337.0,投资兴办实业(具体项目另行申报)。国内商业、物资供销业(不含专营、专控、专卖商品)、物业租赁与管理。自营本公司及所属企业自产产品、自用生产材料、金属加工机械、通用零件的进出口业务、进出口业务按深贸管证字第098号外贸审定证书办理。,"主营业务;汽车销售,汽车检测维修及配件销售,物业租赁及服务等."
000026,飞亚达A,深圳,其他商业,19930603,SZSE,黄勇峰,陈立彬,陆万军,44296.8881,19900330,广东,深圳市,www.fiytagroup.com,investor@fiyta.com.cn,5162.0,生产经营各种指针式机械表、石英表及其机芯、零部件、各种计时仪器，加工批发K金首饰表、智能手表；国内商业、物资供销(不含专营、专控、专卖商品)；物业管理及物业租赁；设计服务；自营进出口业务。,"主要业务:钟表及其零配件的设计开发,制造,销售和维修,包括“飞亚达”表的产品经营和世界名表的商业连锁销售;以及飞亚达大厦的物业经营."
000027,深圳能源,深圳,火力发电,19930903,SZSE,熊佩锦,李英峰,邵崇,396449.1597,19930821,广东,深圳市,www.sec.com.cn,ir@sec.com.cn,6649.0,(一)各种常规能源和新能源的开发、生产、购销；(二)投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等；(三)投资和经营与能源相配套的地产、房产业和租赁等产业；(四)投资和经营能提高能源使用效益的高科技产业；(五)经营和进出口本公司能源项目所需的成套设备、配套设备、机具和交通工具等；(六)各种能源工程项目的设计、施工、管理和经营，以及与能源工程相关的人员培训、咨询及其他相关服务业务；(七)环保技术的开发、转让和服务；(八)物业管理、自有物业租赁；(九)在合法取得的地块上从事单项房地产开发经营；(十)从事信息系统运营维护，系统集成，软件开发等信息技术服务，及信息技术相关产品设备的销售与租赁(含计算机软硬件、电子产品、耗材、办公设备等)；(十一)能提高社会、经济效益的其他业务。,"主要业务:是各种常规能源和新能源的开发,生产,购销,以及城市固体废物处理,城市燃气供应和废水处理等."
000028,国药一致,深圳,医药商业,19930809,SZSE,林兆雄,林兆雄,陈常兵,42812.6983,19860802,广东,深圳市,www.szaccord.com.cn,gyyz0028@sinopharm.com;gyyzinvestor@sinopharm.com,24821.0,"中药饮片、中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品(含疫苗和体外诊断试剂)、第二类精神药品(制剂)、麻醉药品、第一类精神药品(区域性批发企业)、医疗用毒性药品、蛋白同化制剂、肽类激素的批发；保健食品经营；药用包装材料及医药工业产品研究与开发、咨询服务；投资兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；救护车销售；供应链管理；仓储代理服务;物流代理服务;道路货物运输代理;装卸搬运;运输货物打包服务；其他仓储业(不含原油、成品油仓储、燃气仓储、危险品仓储)；会议及展览服务；全部一类医疗器械；全部二类医疗器械(包括二类体外诊断试剂)；III类：6840体外诊断试剂,6807胸腔心血管外科手术器械，6815注射穿刺器械，6821医用电子仪器设备，6822医用光学器具、仪器及内窥镜设备，6823医用超声仪器及有关设备，6824医用激光仪器设备，6825医用高频仪器设备，6826物理治疗及康复设备，6828医用磁共振设备，6830医用X射线设备，6832医用高能射线设备，6833医用核素设备，6834医用射线防护用品、装置，6840临床检验分析仪器，6845体外循环及血液处理设备，6846植入材料和人工器官，6854手术室、急救室、诊疗室设备及器具，6858医用冷疗、低温、冷藏设备及器具，6863口腔科材料，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品，6870软件，6877介入器材；预包装食品销售(不含冷藏冷冻食品)，特殊食品销售(保健食品销售，特殊医学用途配方食品销售，婴幼儿配方乳粉销售，其他婴幼儿配方食品销售)。经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。房屋租赁、物业管理服务。","主要业务:制药,医药批发零售.主要产品:头孢类系列产品,健儿清解液."
000029,深深房A,深圳,区域地产,19930915,SZSE,周建国,陈茂政,唐小平,101166.0,19860719,广东,深圳市,www.sfjt.com.cn,spg@163.net;tangxiaoping0086@126.com,1954.0,许可经营项目：城市园林绿化壹级(按照资质证书可承揽各种规模及类型的园林绿化工程；可承揽园林绿化工程中的整地、栽植、建筑及小品、花坛、园路、水系、喷泉、假山、雕塑、广场铺装、驳岸、桥梁、码头等园林设施及设备安装项目；可承揽各种规模及类型的园林绿化综合性养护管理工程；可从事园林绿化技术咨询、培训和信息服务)(凭资质证书经营)；风景园林工程设计专项乙级(凭资质证书经营)一般经营项目：节水、抗旱植物的研发、生产、销售、推广及技术服务。(法律、行政法规、国务院决定规定应经许可的，未获许可不得生产经营),"主要业务:房地产开发,房屋租赁,建筑施工安装,物业管理,酒店饮食服务,商品流通."
000030,富奥股份,吉林,汽车配件,19930929,SZSE,甘先国,甘先国,王晓平,181055.2111,19881006,吉林,长春市,www.fawer.com.cn,000030@fawer.com.cn,7560.0,汽车零部件及相关产品的研发、设计、制造、销售及售后服务；进出口业务；设备及工艺装备的设计、制造及相关服务；租赁业务、物业服务业务；仓储和配送业务及相关服务。,"主要产品:底盘系统,环境系统,制动和传动系统,转向及安全系统,电子电器系统,发动机附件系统等六大系列.主要业务:汽车零部件的研发,生产和销售."
000031,大悦城,深圳,全国地产,19931008,SZSE,周政,曹荣根,宋冰心,392587.0338,19931008,广东,深圳市,www.cofco-property.cn,cofco-property@cofco.com,4238.0,房地产开发经营；国内商业、物资供销业(不含专营、专卖、专控商品)；建筑技术咨询，进出口贸易。,"主要业务:房屋租赁,来料加工."
000032,深桑达A,深圳,元器件,19931028,SZSE,宋健,徐效臣,钟彦,41321.9661,19931204,广东,深圳市,www.sedind.com,sed@sedind.com,457.0,研发、生产、销售通信设备、交通通讯设备(生产场地营业执照另行办理)、计算机及软件、办公自动化设备、机械、光机电一体化设备、电子检测设备、税控设备、税控收款机(不含限制项目)、半导体照明产品；电子信息系统工程、建筑智能化工程、机电设备安装工程、变配电工程的规划、设计、安装、调试、集成及技术咨询服务；智能交通设备及产品、通信设备及产品、安防监控系统产品的技术开发、生产制造、调试、销售；软件及网络通讯产品的技术开发、技术服务、技术咨询；监控系统项目的设计、开发、咨询；国内商业、物资供销业(不含专营、专卖、专控商品)；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业(具体项目另行申报)；仓储服务、国内外货物运输及代理服务(需许可经营项目另行办理申请)。,"主要业务:电子设备,电子元器件,电子消费通信产品的生产,销售及房地产开发.主要产品:彩电回扫变压器,手机,“棕榈湾”楼盘,模块电源."
000034,神州数码,深圳,综合类,19940509,SZSE,郭为,郭为,王继业,65407.0434,19820601,广东,深圳市,www.digitalchina.com,dcg-ir@digitalchina.com,4228.0,(一)计算机硬件及配套零件的研究、开发；网络产品、多媒体产品、电子信息产品及通讯产品、办公自动化设备、仪器仪表、电器及印刷照排设备、计算机应用系统的安装和维修；自产产品的技术咨询、技术服务、技术转让(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；计算机硬件、软件及外围设施的代理销售；销售自产产品(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；(二)通信设备、电子、计算机配件的技术开发；计算机软件、信息技术、系统集成、办公自动化、综合布线技术的研发(不含限制项目)；(三)投资兴办实业(具体项目另行申报)；在合法取得使用权的土地上从事房地产开发经营。(以上项目法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。,"移动办公设备,笔记本电脑,显示设备,服务器,存储设备,网络设备,计算机配件"
000035,中国天楹,江苏,环境保护,19940408,SZSE,严圣军,曹德标,程健,243873.6365,19841231,江苏,南通市,www.ctyi.com.cn,tyhb@ctyi.com.cn;cj@ctyi.com.cn;cy@ctyi.com.cn,8631.0,生活垃圾焚烧发电及蒸汽生产，自产产品销售，危险废弃物处理(前述所有范围权限仅限分支机构经营)；生活垃圾焚烧发电、可再生能源项目及环保设施的投资、开发；污泥处理、餐厨垃圾处理、建筑垃圾处理、污水处理、大气环境治理、噪声治理、土壤修复；垃圾焚烧发电成套设备、环保成套设备的研发、生产、销售；填埋气开发与利用；垃圾分类收运体系投资与运营；企业管理咨询服务；自营和代理上述商品和技术的进出口业务；道路普通货物运输；生活垃圾经营性清扫、收集、运输、处理服务；道路清扫保洁；河道保洁、绿化管护；物业管理。(不得以公开方式募集资金；不得公开交易证券类产品和金融衍生品；不得发放贷款；不得从事融资性担保；不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后方可开展经营活动),"主营业务:以BOO,BOT方式投资,建设和运营城市生活垃圾焚烧发电项目,研发,生产,销售垃圾焚烧发电及环保成套设备"
000036,华联控股,深圳,全国地产,19940617,SZSE,丁跃,李云,孔庆富,148393.4025,19890911,广东,深圳市,www.udcgroup.com,hlkg000036@udcgroup.com;kongqf@udcgroup.com;shenh@udcgroup.com,835.0,投资兴办实业(具体项目另行申报)；国内商业、物资供销业务(不含专营、专控、专卖商品)；在具有合法土地使用权的地块上从事房地产开发、经营；自有物业管理；房地产经纪(不含限制项目)。,主要业务:房地产开发和自有物业租赁管理业务.
000037,深南电A,深圳,火力发电,19940701,SZSE,李新威,陈玉辉,张杰,60276.2596,19900406,广东,深圳市,www.nsrd.com.cn,public@nspower.com.cn;investor@nspower.com.cn,520.0,供电、供热，提供相关技术咨询和技术服务。,"主要业务:生产经营供电供热,从事发电厂(站)的相关技术咨询和技术服务."
000038,深大通,深圳,广告包装,19940808,SZSE,史利军,史利军,于秀庆,52277.7419,19870624,广东,深圳市,www.chinadatong.com,datongstock@163.com,246.0,房地产开发、经营；国内贸易(不含专营、专控、专卖商品)；兴办实业(具体项目另行申报)，计算机领域的技术开发、技术转让、技术咨询和技术服务，计算机软硬件开发及销售；经营进出口业务(具体按照深贸管准证字第2003-3670号资格证书办理)；设计、制作、代理、发布各类广告，电脑图文设计制作，影视策划，企业形象策划，市场营销策划；展览展示设计服务，会务服务；文化产业园区的投资，文化旅游项目的投资；物联网、人工智能的技术研发。,主营业务:房地产开发与经营.
000039,中集集团,深圳,轻工机械,19940408,SZSE,王宏,麦伯良,于玉群,358253.0682,19800114,广东,深圳市,www.cimc.com,shareholder@cimc.com,51253.0,制造修理集装箱及其有关业务，利用该公司现有设备加工制造各类零部件结构件和有关设备，并提供以下加工服务：切割、冲压成型、铆接、表面处理，包括喷沙喷漆、焊接和装配；集装箱租赁。,"主要产品:集装箱,道路运输车辆,能源,化工及液态食品装备等.主营业务:现代化交通运输装备,能源,化工及液态食品装备,海洋工程装备,物流服务,空港装备的制造及服务业务."
000040,东旭蓝天,深圳,新型电力,19940808,SZSE,卢召义,卢召义,卢召义,148687.387,19820323,广东,深圳市,www.dongxulantian.com,sz000040@bahjdc.com;SZ000040@dong-xu.com,2265.0,环保技术的研发、推广及服务，生态环境治理、土壤修复、水处理；园林、城市绿化工程施工；园林及生态湿地的运营养护；风景园林规划设计、城乡规划设计；湖底淤泥处理；环保项目管理与咨询；光伏电站投资、建设、运营、维护及管理服务；光伏发电技术及设备的研发；光伏发电项目技术咨询；电力工程总承包及国际工程总承包(一般经营项目)。光伏发电设备的制造、批发零售；机电设备的设计、制造及销售，新能源设备设施的设计、制造及销售(许可经营项目)；经营进出口业务；物业管理。,主营业务:新能源和生态环保.
000042,中洲控股,深圳,全国地产,19940921,SZSE,姚日波,彭伟东,王艺瑾,66483.1139,19840917,广东,深圳市,www.zztzkg.com,dongshihui@zztzkg.com;huangguangli@zztzkg.com,2543.0,房地产开发及商品房销售、管理；承接建筑安装工程；自有物业租赁。,主营业务:房地产开发
000043,中航善达,深圳,房产服务,19940928,SZSE,石正林,钟宏伟,杨祥,66696.1416,19850529,广东,深圳市,www.avicsunda.com,sng@avicsunda.com;dongm@avicsunda.com;zqsw@avicsunda.com,19886.0,(一)开办商场、宾馆、餐厅，经营旅游服务业；(二)兴办工业和高新技术产业；(三)开办生产资料批发市场；(四)开展科技交流活动，进行技术贸易，提供科技、经济和法律咨询、代理服务；(五)经营贸易：电子计算机、机械电器设备、五金交电、家用电器、文化办公用品、化工原料、日用百货、金属材料、建筑材料、针纺织品、棉麻、中成药、西药、原料药、保健药品、医疗器械、土产品、粮油食品、果菜；(六)举办各种产品展销；(七)经营公司自有房产并对外承接楼宇及其配套设备的管理与维修；(八)开办仓储业和运输业；(九)从事各类投资；(十)房地产开发、经营；(十一)劳动派遣；(十二)租赁服务；(十三)鉴证咨询服务；(十四)商务辅助服务。,主营业务:地产开发业务.
000045,深纺织A,深圳,元器件,19940815,SZSE,朱军,朱梅柱,姜澎,51127.4149,19820430,广东,深圳市,www.chinasthc.com,szfzjt@chinasthc.com;jiangp@chinasthc.com;moxy@chinasthc.com;lizy@chinasthc.com,1337.0,生产、经营偏光片等光学膜产品；酒店、物业租赁与经营管理；生产、加工纺织品、针织品、服装、装饰布、带、商标带、工艺品(不含限制项目)；百货、纺织工业专用设备，纺织器材及配件、仪表、标准件、纺织原材料、染料、电子产品，化工产品、机电设备、轻纺产品、办公用品及国内贸易(不含专营、专控、专卖商品)；经营进出口业务。,"主要业务:纺织服装及其相关产品的生产,贸易,物业租赁管理."
000046,泛海控股,北京,全国地产,19940912,SZSE,卢志强,宋宏谋,陈怀东,519620.0656,19890509,北京,北京市,www.fhkg.com,dsh@fhkg.com;cjh@fhjs.cn;chd@fhkg.com;luyang@fhkg.com;lixiuhong@fhkg.com,10170.0,投资及投资管理；资产管理；经营房地产业务及物业管理；自有物业租赁；企业管理咨询；销售建筑材料、装饰材料、机械设备。,"主要业务:房地产开发经营,项目投资."
000048,*ST康达,深圳,饲料,19941101,SZSE,熊伟,巴根,胡琴,39076.8671,19790101,广东,深圳市,www.kondarl.com,a000048@126.com,1556.0,养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿啤酒、兴办实业(具体项目另行申报)；非银行金融业(以主管部门审批为准)；国内商业、物资供销业(不含专营、专控、专卖商品)；在合法取得的土地上从事房地产开发经营；货物及技术进出口；房屋租赁。,"主要业务:饲料生产,房地产开发,自来水供应,养殖业,交通运输,商业贸易,房屋租赁."
000049,德赛电池,深圳,电气设备,19950320,SZSE,刘其,何文彬,王锋,20524.3738,19850904,广东,深圳市,www.desaybattery.com,IR@desaybattery.com,10565.0,无汞碱锰电池、一次锂电池、锌空气电池、镍氢电池、锂聚合物电池、燃料电池及其他种类电池、电池材料、配件和设备的研究、开发和销售；电源管理系统和新型电子元器件的开发、测试及销售；移动通讯产品及配件的开发及销售；高科技项目开发、投资、咨询，高科技企业投资。,主营业务:以生产制造电源管理系统及各类锂电池为主.
